```csv
nutrient_identifier,life_stage_name,dri_type,value_numeric,value_string,unit,source_of_goal,criterion,footnote_marker,notes,source_document
VITC,"Infants 7-12 months",AI,50,,mg,AI,,,"Disclosure a",DGA App1 T A1-1
THIA,"Infants 7-12 months",AI,0.3,,mg,AI,,,"Disclosure a",DGA App1 T A1-1
RIBF,"Infants 7-12 months",AI,0.4,,mg,AI,,,"Disclosure a",DGA App1 T A1-1
NIA,"Infants 7-12 months",AI,4,,mg,AI,,,"Disclosure a",DGA App1 T A1-1
VITB6,"Infants 7-12 months",AI,0.3,,mg,AI,,,"Disclosure a",DGA App1 T A1-1
VITB12,"Infants 7-12 months",AI,0.5,,mcg,AI,,,"Disclosure a",DGA App1 T A1-1
CHOLN,"Infants 7-12 months",AI,150,,mg,AI,,,"Disclosure a",DGA App1 T A1-1
VITK,"Infants 7-12 months",AI,2.5,,mcg,AI,,,"Disclosure a",DGA App1 T A1-1
FOL_DFE,"Infants 7-12 months",AI,80,,mcg DFE,AI,,c,"Disclosure a",DGA App1 T A1-1
PROCNT,"Toddlers 12-23 months",RDA,13,,g,RDA,,,"Disclosure a: Reflects DRIs for 1-3y applied to 12-23mo. Original source: IOM DRIs Essential Guide 2006",DGA App1 T A1-1
CHOCDF,"Toddlers 12-23 months",RDA,130,,g,RDA,,,"Disclosure a",DGA App1 T A1-1
FIBTG,"Toddlers 12-23 months",AI,19,,g,AI,,,"Disclosure a",DGA App1 T A1-1
FAT,"Toddlers 12-23 months",AMDR_perc_range,,"30-40",% kcal,AMDR,,,"Disclosure a",DGA App1 T A1-1
FALINOLEIC,"Toddlers 12-23 months",AI,7,,g,AI,,,"Disclosure a",DGA App1 T A1-1
FAALALIN,"Toddlers 12-23 months",AI,0.7,,g,AI,,,"Disclosure a",DGA App1 T A1-1
CA,"Toddlers 12-23 months",RDA,700,,mg,RDA,,,"Disclosure a. Original source: IOM DRIs Ca/VitD 2011",DGA App1 T A1-1
FE,"Toddlers 12-23 months",RDA,7,,mg,RDA,,,"Disclosure a",DGA App1 T A1-1
MG,"Toddlers 12-23 months",RDA,80,,mg,RDA,,,"Disclosure a",DGA App1 T A1-1
P,"Toddlers 12-23 months",RDA,460,,mg,RDA,,,"Disclosure a",DGA App1 T A1-1
K,"Toddlers 12-23 months",AI,2000,,mg,AI,,,"Disclosure a. Original source: NASEM DRIs Na/K 2019",DGA App1 T A1-1
NA,"Toddlers 12-23 months",CDRR,1200,,mg,CDRR,,,"Disclosure a. Original source: NASEM DRIs Na/K 2019",DGA App1 T A1-1
ZN,"Toddlers 12-23 months",RDA,3,,mg,RDA,,,"Disclosure a",DGA App1 T A1-1
VITA_RAE,"Toddlers 12-23 months",RDA,300,,mcg RAE,RDA,,c,"Disclosure a",DGA App1 T A1-1
VITE_AT,"Toddlers 12-23 months",RDA,6,,mg AT,RDA,,c,"Disclosure a",DGA App1 T A1-1
VITD_IU,"Toddlers 12-23 months",RDA,600,,IU,RDA,,c,"Disclosure a. Original source: IOM DRIs Ca/VitD 2011",DGA App1 T A1-1
VITC,"Toddlers 12-23 months",RDA,15,,mg,RDA,,,"Disclosure a",DGA App1 T A1-1
THIA,"Toddlers 12-23 months",RDA,0.5,,mg,RDA,,,"Disclosure a",DGA App1 T A1-1
RIBF,"Toddlers 12-23 months",RDA,0.5,,mg,RDA,,,"Disclosure a",DGA App1 T A1-1
NIA,"Toddlers 12-23 months",RDA,6,,mg,RDA,,,"Disclosure a",DGA App1 T A1-1
VITB6,"Toddlers 12-23 months",RDA,0.5,,mg,RDA,,,"Disclosure a",DGA App1 T A1-1
VITB12,"Toddlers 12-23 months",RDA,0.9,,mcg,RDA,,,"Disclosure a",DGA App1 T A1-1
CHOLN,"Toddlers 12-23 months",AI,200,,mg,AI,,,"Disclosure a",DGA App1 T A1-1
VITK,"Toddlers 12-23 months",AI,30,,mcg,AI,,,"Disclosure a",DGA App1 T A1-1
FOL_DFE,"Toddlers 12-23 months",RDA,150,,mcg DFE,RDA,,c,"Disclosure a",DGA App1 T A1-1
PROCNT,"Children 2-3 years",AMDR_perc_range,,"5-20",% kcal,AMDR,,,,DGA App1 T A1-2
PROCNT,"Children 2-3 years",RDA,13,,g,RDA,,,,DGA App1 T A1-2
CHOCDF,"Children 2-3 years",AMDR_perc_range,,"45-65",% kcal,AMDR,,,,DGA App1 T A1-2
CHOCDF,"Children 2-3 years",RDA,130,,g,RDA,,,,DGA App1 T A1-2
FIBTG,"Children 2-3 years",AI,14,,g,AI,"14g/1,000 kcal",,Assessed Calorie Level 1000,DGA App1 T A1-2
SUGAR_ADD,"Children 2-3 years",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-2
FAT,"Children 2-3 years",AMDR_perc_range,,"30-40",% kcal,AMDR,,,,DGA App1 T A1-2
FASAT,"Children 2-3 years",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-2
FALINOLEIC,"Children 2-3 years",AI,7,,g,AI,,,,DGA App1 T A1-2
FAALALIN,"Children 2-3 years",AI,0.7,,g,AI,,,,DGA App1 T A1-2
CA,"Children 2-3 years",RDA,700,,mg,RDA,,,,DGA App1 T A1-2
FE,"Children 2-3 years",RDA,7,,mg,RDA,,,,DGA App1 T A1-2
MG,"Children 2-3 years",RDA,80,,mg,RDA,,,,DGA App1 T A1-2
P,"Children 2-3 years",RDA,460,,mg,RDA,,,,DGA App1 T A1-2
K,"Children 2-3 years",AI,2000,,mg,AI,,,,DGA App1 T A1-2
NA,"Children 2-3 years",CDRR,1200,,mg,CDRR,,,,DGA App1 T A1-2
ZN,"Children 2-3 years",RDA,3,,mg,RDA,,,,DGA App1 T A1-2
VITA_RAE,"Children 2-3 years",RDA,300,,mcg RAE,RDA,,d,,DGA App1 T A1-2
VITE_AT,"Children 2-3 years",RDA,6,,mg AT,RDA,,d,,DGA App1 T A1-2
VITD_IU,"Children 2-3 years",RDA,600,,IU,RDA,,d,,DGA App1 T A1-2
VITC,"Children 2-3 years",RDA,15,,mg,RDA,,,,DGA App1 T A1-2
THIA,"Children 2-3 years",RDA,0.5,,mg,RDA,,,,DGA App1 T A1-2
RIBF,"Children 2-3 years",RDA,0.5,,mg,RDA,,,,DGA App1 T A1-2
NIA,"Children 2-3 years",RDA,6,,mg,RDA,,,,DGA App1 T A1-2
VITB6,"Children 2-3 years",RDA,0.5,,mg,RDA,,,,DGA App1 T A1-2
VITB12,"Children 2-3 years",RDA,0.9,,mcg,RDA,,,,DGA App1 T A1-2
CHOLN,"Children 2-3 years",AI,200,,mg,AI,,,,DGA App1 T A1-2
VITK,"Children 2-3 years",AI,30,,mcg,AI,,,,DGA App1 T A1-2
FOL_DFE,"Children 2-3 years",RDA,150,,mcg DFE,RDA,,d,,DGA App1 T A1-2
PROCNT,"Females 4-8 years",AMDR_perc_range,,"10-30",% kcal,AMDR,,,,DGA App1 T A1-2
PROCNT,"Females 4-8 years",RDA,19,,g,RDA,,,,DGA App1 T A1-2
CHOCDF,"Females 4-8 years",AMDR_perc_range,,"45-65",% kcal,AMDR,,,,DGA App1 T A1-2
CHOCDF,"Females 4-8 years",RDA,130,,g,RDA,,,,DGA App1 T A1-2
FIBTG,"Females 4-8 years",AI,17,,g,AI,"14g/1,000 kcal",,Assessed Calorie Level 1200 (1.2*14=16.8, rounded to 17),DGA App1 T A1-2
SUGAR_ADD,"Females 4-8 years",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-2
FAT,"Females 4-8 years",AMDR_perc_range,,"25-35",% kcal,AMDR,,,,DGA App1 T A1-2
FASAT,"Females 4-8 years",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-2
FALINOLEIC,"Females 4-8 years",AI,10,,g,AI,,,,DGA App1 T A1-2
FAALALIN,"Females 4-8 years",AI,0.9,,g,AI,,,,DGA App1 T A1-2
CA,"Females 4-8 years",RDA,1000,,mg,RDA,,,,DGA App1 T A1-2
FE,"Females 4-8 years",RDA,10,,mg,RDA,,,,DGA App1 T A1-2
MG,"Females 4-8 years",RDA,130,,mg,RDA,,,,DGA App1 T A1-2
P,"Females 4-8 years",RDA,500,,mg,RDA,,,,DGA App1 T A1-2
K,"Females 4-8 years",AI,2300,,mg,AI,,,,DGA App1 T A1-2
NA,"Females 4-8 years",CDRR,1500,,mg,CDRR,,,,DGA App1 T A1-2
ZN,"Females 4-8 years",RDA,5,,mg,RDA,,,,DGA App1 T A1-2
VITA_RAE,"Females 4-8 years",RDA,400,,mcg RAE,RDA,,d,,DGA App1 T A1-2
VITE_AT,"Females 4-8 years",RDA,7,,mg AT,RDA,,d,,DGA App1 T A1-2
VITD_IU,"Females 4-8 years",RDA,600,,IU,RDA,,d,,DGA App1 T A1-2
VITC,"Females 4-8 years",RDA,25,,mg,RDA,,,,DGA App1 T A1-2
THIA,"Females 4-8 years",RDA,0.6,,mg,RDA,,,,DGA App1 T A1-2
RIBF,"Females 4-8 years",RDA,0.6,,mg,RDA,,,,DGA App1 T A1-2
NIA,"Females 4-8 years",RDA,8,,mg,RDA,,,,DGA App1 T A1-2
VITB6,"Females 4-8 years",RDA,0.6,,mg,RDA,,,,DGA App1 T A1-2
VITB12,"Females 4-8 years",RDA,1.2,,mcg,RDA,,,,DGA App1 T A1-2
CHOLN,"Females 4-8 years",AI,250,,mg,AI,,,,DGA App1 T A1-2
VITK,"Females 4-8 years",AI,55,,mcg,AI,,,,DGA App1 T A1-2
FOL_DFE,"Females 4-8 years",RDA,200,,mcg DFE,RDA,,d,,DGA App1 T A1-2
PROCNT,"Females 9-13 years",AMDR_perc_range,,"10-30",% kcal,AMDR,,,,DGA App1 T A1-2
PROCNT,"Females 9-13 years",RDA,34,,g,RDA,,,,DGA App1 T A1-2
CHOCDF,"Females 9-13 years",AMDR_perc_range,,"45-65",% kcal,AMDR,,,,DGA App1 T A1-2
CHOCDF,"Females 9-13 years",RDA,130,,g,RDA,,,,DGA App1 T A1-2
FIBTG,"Females 9-13 years",AI,22,,g,AI,"14g/1,000 kcal",,Assessed Calorie Level 1600 (1.6*14=22.4, rounded to 22),DGA App1 T A1-2
SUGAR_ADD,"Females 9-13 years",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-2
FAT,"Females 9-13 years",AMDR_perc_range,,"25-35",% kcal,AMDR,,,,DGA App1 T A1-2
FASAT,"Females 9-13 years",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-2
FALINOLEIC,"Females 9-13 years",AI,10,,g,AI,,,,DGA App1 T A1-2
FAALALIN,"Females 9-13 years",AI,1.0,,g,AI,,,,DGA App1 T A1-2
CA,"Females 9-13 years",RDA,1300,,mg,RDA,,,,DGA App1 T A1-2
FE,"Females 9-13 years",RDA,8,,mg,RDA,,,,DGA App1 T A1-2
MG,"Females 9-13 years",RDA,240,,mg,RDA,,,,DGA App1 T A1-2
P,"Females 9-13 years",RDA,1250,,mg,RDA,,,,DGA App1 T A1-2
K,"Females 9-13 years",AI,2300,,mg,AI,,,,DGA App1 T A1-2
NA,"Females 9-13 years",CDRR,1800,,mg,CDRR,,,,DGA App1 T A1-2
ZN,"Females 9-13 years",RDA,8,,mg,RDA,,,,DGA App1 T A1-2
VITA_RAE,"Females 9-13 years",RDA,600,,mcg RAE,RDA,,d,,DGA App1 T A1-2
VITE_AT,"Females 9-13 years",RDA,11,,mg AT,RDA,,d,,DGA App1 T A1-2
VITD_IU,"Females 9-13 years",RDA,600,,IU,RDA,,d,,DGA App1 T A1-2
VITC,"Females 9-13 years",RDA,45,,mg,RDA,,,,DGA App1 T A1-2
THIA,"Females 9-13 years",RDA,0.9,,mg,RDA,,,,DGA App1 T A1-2
RIBF,"Females 9-13 years",RDA,0.9,,mg,RDA,,,,DGA App1 T A1-2
NIA,"Females 9-13 years",RDA,12,,mg,RDA,,,,DGA App1 T A1-2
VITB6,"Females 9-13 years",RDA,1.0,,mg,RDA,,,,DGA App1 T A1-2
VITB12,"Females 9-13 years",RDA,1.8,,mcg,RDA,,,,DGA App1 T A1-2
CHOLN,"Females 9-13 years",AI,375,,mg,AI,,,,DGA App1 T A1-2
VITK,"Females 9-13 years",AI,60,,mcg,AI,,,,DGA App1 T A1-2
FOL_DFE,"Females 9-13 years",RDA,300,,mcg DFE,RDA,,d,,DGA App1 T A1-2
PROCNT,"Females 14-18 years",AMDR_perc_range,,"10-30",% kcal,AMDR,,,,DGA App1 T A1-2
PROCNT,"Females 14-18 years",RDA,46,,g,RDA,,,,DGA App1 T A1-2
CHOCDF,"Females 14-18 years",AMDR_perc_range,,"45-65",% kcal,AMDR,,,,DGA App1 T A1-2
CHOCDF,"Females 14-18 years",RDA,130,,g,RDA,,,,DGA App1 T A1-2
FIBTG,"Females 14-18 years",AI,25,,g,AI,"14g/1,000 kcal",,Assessed Calorie Level 1800 (1.8*14=25.2, rounded to 25),DGA App1 T A1-2
SUGAR_ADD,"Females 14-18 years",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-2
FAT,"Females 14-18 years",AMDR_perc_range,,"25-35",% kcal,AMDR,,,,DGA App1 T A1-2
FASAT,"Females 14-18 years",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-2
FALINOLEIC,"Females 14-18 years",AI,11,,g,AI,,,,DGA App1 T A1-2
FAALALIN,"Females 14-18 years",AI,1.1,,g,AI,,,,DGA App1 T A1-2
CA,"Females 14-18 years",RDA,1300,,mg,RDA,,,,DGA App1 T A1-2
FE,"Females 14-18 years",RDA,15,,mg,RDA,,,,DGA App1 T A1-2
MG,"Females 14-18 years",RDA,360,,mg,RDA,,,,DGA App1 T A1-2
P,"Females 14-18 years",RDA,1250,,mg,RDA,,,,DGA App1 T A1-2
K,"Females 14-18 years",AI,2300,,mg,AI,,,,DGA App1 T A1-2
NA,"Females 14-18 years",CDRR,2300,,mg,CDRR,,,,DGA App1 T A1-2
ZN,"Females 14-18 years",RDA,9,,mg,RDA,,,,DGA App1 T A1-2
VITA_RAE,"Females 14-18 years",RDA,700,,mcg RAE,RDA,,d,,DGA App1 T A1-2
VITE_AT,"Females 14-18 years",RDA,15,,mg AT,RDA,,d,,DGA App1 T A1-2
VITD_IU,"Females 14-18 years",RDA,600,,IU,RDA,,d,,DGA App1 T A1-2
VITC,"Females 14-18 years",RDA,65,,mg,RDA,,,,DGA App1 T A1-2
THIA,"Females 14-18 years",RDA,1.0,,mg,RDA,,,,DGA App1 T A1-2
RIBF,"Females 14-18 years",RDA,1.0,,mg,RDA,,,,DGA App1 T A1-2
NIA,"Females 14-18 years",RDA,14,,mg,RDA,,,,DGA App1 T A1-2
VITB6,"Females 14-18 years",RDA,1.2,,mg,RDA,,,,DGA App1 T A1-2
VITB12,"Females 14-18 years",RDA,2.4,,mcg,RDA,,,,DGA App1 T A1-2
CHOLN,"Females 14-18 years",AI,400,,mg,AI,,,,DGA App1 T A1-2
VITK,"Females 14-18 years",AI,75,,mcg,AI,,,,DGA App1 T A1-2
FOL_DFE,"Females 14-18 years",RDA,400,,mcg DFE,RDA,,d,,DGA App1 T A1-2
PROCNT,"Females 19-30 years",AMDR_perc_range,,"10-35",% kcal,AMDR,,,,DGA App1 T A1-2
PROCNT,"Females 19-30 years",RDA,46,,g,RDA,,,,DGA App1 T A1-2
CHOCDF,"Females 19-30 years",AMDR_perc_range,,"45-65",% kcal,AMDR,,,,DGA App1 T A1-2
CHOCDF,"Females 19-30 years",RDA,130,,g,RDA,,,,DGA App1 T A1-2
FIBTG,"Females 19-30 years",AI,28,,g,AI,"14g/1,000 kcal",,Assessed Calorie Level 2000 (2.0*14=28),DGA App1 T A1-2
SUGAR_ADD,"Females 19-30 years",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-2
FAT,"Females 19-30 years",AMDR_perc_range,,"20-35",% kcal,AMDR,,,,DGA App1 T A1-2
FASAT,"Females 19-30 years",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-2
FALINOLEIC,"Females 19-30 years",AI,12,,g,AI,,,,DGA App1 T A1-2
FAALALIN,"Females 19-30 years",AI,1.1,,g,AI,,,,DGA App1 T A1-2
CA,"Females 19-30 years",RDA,1000,,mg,RDA,,,,DGA App1 T A1-2
FE,"Females 19-30 years",RDA,18,,mg,RDA,,,,DGA App1 T A1-2
MG,"Females 19-30 years",RDA,310,,mg,RDA,,,,DGA App1 T A1-2
P,"Females 19-30 years",RDA,700,,mg,RDA,,,,DGA App1 T A1-2
K,"Females 19-30 years",AI,2600,,mg,AI,,,,DGA App1 T A1-2
NA,"Females 19-30 years",CDRR,2300,,mg,CDRR,,,,DGA App1 T A1-2
ZN,"Females 19-30 years",RDA,8,,mg,RDA,,,,DGA App1 T A1-2
VITA_RAE,"Females 19-30 years",RDA,700,,mcg RAE,RDA,,d,,DGA App1 T A1-2
VITE_AT,"Females 19-30 years",RDA,15,,mg AT,RDA,,d,,DGA App1 T A1-2
VITD_IU,"Females 19-30 years",RDA,600,,IU,RDA,,d,,DGA App1 T A1-2
VITC,"Females 19-30 years",RDA,75,,mg,RDA,,,,DGA App1 T A1-2
THIA,"Females 19-30 years",RDA,1.1,,mg,RDA,,,,DGA App1 T A1-2
RIBF,"Females 19-30 years",RDA,1.1,,mg,RDA,,,,DGA App1 T A1-2
NIA,"Females 19-30 years",RDA,14,,mg,RDA,,,,DGA App1 T A1-2
VITB6,"Females 19-30 years",RDA,1.3,,mg,RDA,,,,DGA App1 T A1-2
VITB12,"Females 19-30 years",RDA,2.4,,mcg,RDA,,,,DGA App1 T A1-2
CHOLN,"Females 19-30 years",AI,425,,mg,AI,,,,DGA App1 T A1-2
VITK,"Females 19-30 years",AI,90,,mcg,AI,,,,DGA App1 T A1-2
FOL_DFE,"Females 19-30 years",RDA,400,,mcg DFE,RDA,,d,,DGA App1 T A1-2
PROCNT,"Females 31-50 years",AMDR_perc_range,,"10-35",% kcal,AMDR,,,,DGA App1 T A1-2
PROCNT,"Females 31-50 years",RDA,46,,g,RDA,,,,DGA App1 T A1-2
CHOCDF,"Females 31-50 years",AMDR_perc_range,,"45-65",% kcal,AMDR,,,,DGA App1 T A1-2
CHOCDF,"Females 31-50 years",RDA,130,,g,RDA,,,,DGA App1 T A1-2
FIBTG,"Females 31-50 years",AI,25,,g,AI,"14g/1,000 kcal",,Assessed Calorie Level 1800 (1.8*14=25.2, rounded to 25),DGA App1 T A1-2
SUGAR_ADD,"Females 31-50 years",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-2
FAT,"Females 31-50 years",AMDR_perc_range,,"20-35",% kcal,AMDR,,,,DGA App1 T A1-2
FASAT,"Females 31-50 years",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-2
FALINOLEIC,"Females 31-50 years",AI,12,,g,AI,,,,DGA App1 T A1-2
FAALALIN,"Females 31-50 years",AI,1.1,,g,AI,,,,DGA App1 T A1-2
CA,"Females 31-50 years",RDA,1000,,mg,RDA,,,,DGA App1 T A1-2
FE,"Females 31-50 years",RDA,18,,mg,RDA,,,,DGA App1 T A1-2
MG,"Females 31-50 years",RDA,320,,mg,RDA,,,,DGA App1 T A1-2
P,"Females 31-50 years",RDA,700,,mg,RDA,,,,DGA App1 T A1-2
K,"Females 31-50 years",AI,2600,,mg,AI,,,,DGA App1 T A1-2
NA,"Females 31-50 years",CDRR,2300,,mg,CDRR,,,,DGA App1 T A1-2
ZN,"Females 31-50 years",RDA,8,,mg,RDA,,,,DGA App1 T A1-2
VITA_RAE,"Females 31-50 years",RDA,700,,mcg RAE,RDA,,d,,DGA App1 T A1-2
VITE_AT,"Females 31-50 years",RDA,15,,mg AT,RDA,,d,,DGA App1 T A1-2
VITD_IU,"Females 31-50 years",RDA,600,,IU,RDA,,d,,DGA App1 T A1-2
VITC,"Females 31-50 years",RDA,75,,mg,RDA,,,,DGA App1 T A1-2
THIA,"Females 31-50 years",RDA,1.1,,mg,RDA,,,,DGA App1 T A1-2
RIBF,"Females 31-50 years",RDA,1.1,,mg,RDA,,,,DGA App1 T A1-2
NIA,"Females 31-50 years",RDA,14,,mg,RDA,,,,DGA App1 T A1-2
VITB6,"Females 31-50 years",RDA,1.3,,mg,RDA,,,,DGA App1 T A1-2
VITB12,"Females 31-50 years",RDA,2.4,,mcg,RDA,,,,DGA App1 T A1-2
CHOLN,"Females 31-50 years",AI,425,,mg,AI,,,,DGA App1 T A1-2
VITK,"Females 31-50 years",AI,90,,mcg,AI,,,,DGA App1 T A1-2
FOL_DFE,"Females 31-50 years",RDA,400,,mcg DFE,RDA,,d,,DGA App1 T A1-2
PROCNT,"Females 51+ years",AMDR_perc_range,,"10-35",% kcal,AMDR,,,,DGA App1 T A1-2
PROCNT,"Females 51+ years",RDA,46,,g,RDA,,,,DGA App1 T A1-2
CHOCDF,"Females 51+ years",AMDR_perc_range,,"45-65",% kcal,AMDR,,,,DGA App1 T A1-2
CHOCDF,"Females 51+ years",RDA,130,,g,RDA,,,,DGA App1 T A1-2
FIBTG,"Females 51+ years",AI,22,,g,AI,"14g/1,000 kcal",,Assessed Calorie Level 1600 (1.6*14=22.4, rounded to 22),DGA App1 T A1-2
SUGAR_ADD,"Females 51+ years",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-2
FAT,"Females 51+ years",AMDR_perc_range,,"20-35",% kcal,AMDR,,,,DGA App1 T A1-2
FASAT,"Females 51+ years",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-2
FALINOLEIC,"Females 51+ years",AI,11,,g,AI,,,,DGA App1 T A1-2
FAALALIN,"Females 51+ years",AI,1.1,,g,AI,,,,DGA App1 T A1-2
CA,"Females 51+ years",RDA,1200,,mg,RDA,,,,DGA App1 T A1-2
FE,"Females 51+ years",RDA,8,,mg,RDA,,,,DGA App1 T A1-2
MG,"Females 51+ years",RDA,320,,mg,RDA,,,,DGA App1 T A1-2
P,"Females 51+ years",RDA,700,,mg,RDA,,,,DGA App1 T A1-2
K,"Females 51+ years",AI,2600,,mg,AI,,,,DGA App1 T A1-2
NA,"Females 51+ years",CDRR,2300,,mg,CDRR,,,,DGA App1 T A1-2
ZN,"Females 51+ years",RDA,8,,mg,RDA,,,,DGA App1 T A1-2
VITA_RAE,"Females 51+ years",RDA,700,,mcg RAE,RDA,,d,,DGA App1 T A1-2
VITE_AT,"Females 51+ years",RDA,15,,mg AT,RDA,,d,,DGA App1 T A1-2
VITD_IU,"Females 51+ years",RDA,600,,IU,RDA,,c,"Vitamin D RDA for males and females ages 71+ years is 800 IU.",DGA App1 T A1-2
VITD_IU,"Females 71+ years",RDA,800,,IU,RDA,,c,"Vitamin D RDA for males and females ages 71+ years is 800 IU.",DGA App1 T A1-2
VITC,"Females 51+ years",RDA,75,,mg,RDA,,,,DGA App1 T A1-2
THIA,"Females 51+ years",RDA,1.1,,mg,RDA,,,,DGA App1 T A1-2
RIBF,"Females 51+ years",RDA,1.1,,mg,RDA,,,,DGA App1 T A1-2
NIA,"Females 51+ years",RDA,14,,mg,RDA,,,,DGA App1 T A1-2
VITB6,"Females 51+ years",RDA,1.5,,mg,RDA,,,,DGA App1 T A1-2
VITB12,"Females 51+ years",RDA,2.4,,mcg,RDA,,,,DGA App1 T A1-2
CHOLN,"Females 51+ years",AI,425,,mg,AI,,,,DGA App1 T A1-2
VITK,"Females 51+ years",AI,90,,mcg,AI,,,,DGA App1 T A1-2
FOL_DFE,"Females 51+ years",RDA,400,,mcg DFE,RDA,,d,,DGA App1 T A1-2
PROCNT,"Males 4-8 years",AMDR_perc_range,,"10-30",% kcal,AMDR,,,,DGA App1 T A1-2
PROCNT,"Males 4-8 years",RDA,19,,g,RDA,,,,DGA App1 T A1-2
CHOCDF,"Males 4-8 years",AMDR_perc_range,,"45-65",% kcal,AMDR,,,,DGA App1 T A1-2
CHOCDF,"Males 4-8 years",RDA,130,,g,RDA,,,,DGA App1 T A1-2
FIBTG,"Males 4-8 years",AI,20,,g,AI,"14g/1,000 kcal",,Assessed Calorie Level 1400 (1.4*14=19.6, rounded to 20),DGA App1 T A1-2
SUGAR_ADD,"Males 4-8 years",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-2
FAT,"Males 4-8 years",AMDR_perc_range,,"25-35",% kcal,AMDR,,,,DGA App1 T A1-2
FASAT,"Males 4-8 years",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-2
FALINOLEIC,"Males 4-8 years",AI,10,,g,AI,,,,DGA App1 T A1-2
FAALALIN,"Males 4-8 years",AI,0.9,,g,AI,,,,DGA App1 T A1-2
CA,"Males 4-8 years",RDA,1000,,mg,RDA,,,,DGA App1 T A1-2
FE,"Males 4-8 years",RDA,10,,mg,RDA,,,,DGA App1 T A1-2
MG,"Males 4-8 years",RDA,130,,mg,RDA,,,,DGA App1 T A1-2
P,"Males 4-8 years",RDA,500,,mg,RDA,,,,DGA App1 T A1-2
K,"Males 4-8 years",AI,2300,,mg,AI,,,,DGA App1 T A1-2
NA,"Males 4-8 years",CDRR,1500,,mg,CDRR,,,,DGA App1 T A1-2
ZN,"Males 4-8 years",RDA,5,,mg,RDA,,,,DGA App1 T A1-2
VITA_RAE,"Males 4-8 years",RDA,400,,mcg RAE,RDA,,d,,DGA App1 T A1-2
VITE_AT,"Males 4-8 years",RDA,7,,mg AT,RDA,,d,,DGA App1 T A1-2
VITD_IU,"Males 4-8 years",RDA,600,,IU,RDA,,d,,DGA App1 T A1-2
VITC,"Males 4-8 years",RDA,25,,mg,RDA,,,,DGA App1 T A1-2
THIA,"Males 4-8 years",RDA,0.6,,mg,RDA,,,,DGA App1 T A1-2
RIBF,"Males 4-8 years",RDA,0.6,,mg,RDA,,,,DGA App1 T A1-2
